Year,Total_Foreign_Born,Region_Reported_Total,Region,Population
1850,2244602,2202625,Europe,2031867
1850,2244602,2202625,Asia,1135
1850,2244602,2202625,Africa,551
1850,2244602,2202625,Oceania,588
1850,2244602,2202625,Latin_America,20773
1850,2244602,2202625,Northern_America,147711
1850,2244602,2202625,Region_Not_Reported,41977
1860,4138697,4134809,Europe,3807062
1860,4138697,4134809,Asia,36796
1860,4138697,4134809,Africa,526
1860,4138697,4134809,Oceania,2140
1860,4138697,4134809,Latin_America,38315
1860,4138697,4134809,Northern_America,249970
1860,4138697,4134809,Region_Not_Reported,3888
1870,5567229,5563637,Europe,4941049
1870,5567229,5563637,Asia,64565
1870,5567229,5563637,Africa,2657
1870,5567229,5563637,Oceania,4028
1870,5567229,5563637,Latin_America,57871
1870,5567229,5563637,Northern_America,493467
1870,5567229,5563637,Region_Not_Reported,3592
1880,6679943,6675875,Europe,5751823
1880,6679943,6675875,Asia,107630
1880,6679943,6675875,Africa,2204
1880,6679943,6675875,Oceania,6859
1880,6679943,6675875,Latin_America,90073
1880,6679943,6675875,Northern_America,717286
1880,6679943,6675875,Region_Not_Reported,4068
1890,9249547,9243535,Europe,8030347
1890,9249547,9243535,Asia,113383
1890,9249547,9243535,Africa,2207
1890,9249547,9243535,Oceania,9353
1890,9249547,9243535,Latin_America,107307
1890,9249547,9243535,Northern_America,980938
1890,9249547,9243535,Region_Not_Reported,6012
1900,10341276,10330534,Europe,8881548
1900,10341276,10330534,Asia,120248
1900,10341276,10330534,Africa,2538
1900,10341276,10330534,Oceania,8820
1900,10341276,10330534,Latin_America,137458
1900,10341276,10330534,Northern_America,1179922
1900,10341276,10330534,Region_Not_Reported,10742
1910,13515886,13506272,Europe,11810115
1910,13515886,13506272,Asia,191484
1910,13515886,13506272,Africa,3992
1910,13515886,13506272,Oceania,11450
1910,13515886,13506272,Latin_America,279514
1910,13515886,13506272,Northern_America,1209717
1910,13515886,13506272,Region_Not_Reported,9614
1920,13920692,13911767,Europe,11916048
1920,13920692,13911767,Asia,237950
1920,13920692,13911767,Africa,16126
1920,13920692,13911767,Oceania,14626
1920,13920692,13911767,Latin_America,588843
1920,13920692,13911767,Northern_America,1138174
1920,13920692,13911767,Region_Not_Reported,8925
1930,14204149,14197553,Europe,11784010
1930,14204149,14197553,Asia,275665
1930,14204149,14197553,Africa,18326
1930,14204149,14197553,Oceania,17343
1930,14204149,14197553,Latin_America,791840
1930,14204149,14197553,Northern_America,1310369
1930,14204149,14197553,Region_Not_Reported,6596
1940,1,1,Collapsed,1
1959,1,1,Collapsed,1
1960,9738091,9678201,Europe,7256311
1960,9738091,9678201,Asia,490996
1960,9738091,9678201,Africa,35355
1960,9738091,9678201,Oceania,34730
1960,9738091,9678201,Latin_America,908309
1960,9738091,9678201,Northern_America,952500
1960,9738091,9678201,Region_Not_Reported,59890
1970,9619302,9303570,Europe,5740891
1970,9619302,9303570,Asia,824887
1970,9619302,9303570,Africa,80143
1970,9619302,9303570,Oceania,41258
1970,9619302,9303570,Latin_America,1803970
1970,9619302,9303570,Northern_America,812421
1970,9619302,9303570,Region_Not_Reported,315732
1980,14079906,13192563,Europe,5149572
1980,14079906,13192563,Asia,2539777
1980,14079906,13192563,Africa,199723
1980,14079906,13192563,Oceania,77577
1980,14079906,13192563,Latin_America,4372487
1980,14079906,13192563,Northern_America,853427
1980,14079906,13192563,Region_Not_Reported,887343
1990,19767316,18959158,Europe,4350403
1990,19767316,18959158,Asia,4979037
1990,19767316,18959158,Africa,363819
1990,19767316,18959158,Oceania,104145
1990,19767316,18959158,Latin_America,8407837
1990,19767316,18959158,Northern_America,753917
1990,19767316,18959158,Region_Not_Reported,808158
